horizon,feature,family,mean_abs_shap,mean_shap,direction,actionability,actionability_score
t2,Age,Demographics,0.0027315136314319,-0.0001188701632749,Protective,Fixed/Demographic,0
t2,low_grade_flag_s2,2nd-Semester,0.0026540253816217,0.0008783355723744,Risk,Fixed/Demographic,0
t2,SpecialNeeds,Demographics,0.0023729100308664,9.042122051729676e-05,Risk,Fixed/Demographic,0
t2,s1_eval_rate,1st-Semester,0.0015488052704403,0.0003280758939744,Risk,Supportable via Programs,2
t2,s1_pass_efficiency,1st-Semester,0.001035465745497,0.0006356804971782,Risk,Supportable via Programs,2
t2,s2_credited,2nd-Semester,0.0009550044408562,0.0003110587622211,Risk,Supportable via Programs,2
t2,s1_credited,1st-Semester,0.0008160902898716,0.0006258664684715,Risk,Supportable via Programs,2
t2,s1_credit_rate,1st-Semester,0.0006424034368117,0.0001402511262305,Risk,Supportable via Programs,2
t2,cum_failed,2nd-Semester,0.0006034238733337,-0.0003430283916497,Protective,Fixed/Demographic,0
t2,s1_failed,1st-Semester,0.0003563870779786,-9.1766320886304e-05,Protective,Supportable via Programs,2
t2,zero_grade_s1,Other,0.0002197911010142,-0.0001198732749076,Protective,Fixed/Demographic,0
t2,s2_n_bank,2nd-Semester,0.0001313589241176,7.437843225156353e-05,Risk,Supportable via Programs,2
t2,s1_n_bank,1st-Semester,0.0001291618858929,4.740797299432036e-05,Risk,Supportable via Programs,2
t2,s2_eval_rate,2nd-Semester,4.581967187368344e-05,4.246686344259479e-05,Risk,Supportable via Programs,2
t2,s1_wo_eval,1st-Semester,0.0,0.0,Protective,Supportable via Programs,2
t2,s2_wo_eval,2nd-Semester,0.0,0.0,Protective,Supportable via Programs,2
t2,Debtor,Financial/Macro,0.0,0.0,Protective,Institutional Lever,3
t2,MaritalStatus,Demographics,0.0,0.0,Protective,Fixed/Demographic,0
t2,Attendance,Other,0.0,0.0,Protective,Fixed/Demographic,0
t2,MotherQual,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t2,FatherQual,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t2,MotherOcc,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t2,FatherOcc,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t2,Displaced,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t2,s1_eval_gap,1st-Semester,0.0,0.0,Protective,Supportable via Programs,2
t2,parent_qual_avg,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t2,parent_occ_avg,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t2,inflation_x_debtor,Financial/Macro,0.0,0.0,Protective,Institutional Lever,3
t2,gdp_x_debtor,Financial/Macro,0.0,0.0,Protective,Institutional Lever,3
t2,s2_eval_gap,2nd-Semester,0.0,0.0,Protective,Supportable via Programs,2
t2,eval_participation_gap,Other,0.0,0.0,Protective,Supportable via Programs,2
